,F1,F2,F3,F4,F5,F6
F1,1.0,-0.11206760586707652,0.14208973597259753,-0.046003156092807224,0.05237651135148544,0.04893857451392244
F2,-0.11206760586707652,1.0,0.2778187839184958,0.17895850539480695,0.39431229184636946,0.18188051192877347
F3,0.14208973597259753,0.2778187839184958,1.0,0.3605515392468806,0.46787158823426694,0.33208506484367617
F4,-0.046003156092807224,0.17895850539480695,0.3605515392468806,1.0,0.43011863428166247,0.711867235869568
F5,0.05237651135148544,0.39431229184636946,0.46787158823426694,0.43011863428166247,1.0,0.4018949227079373
F6,0.04893857451392244,0.18188051192877347,0.33208506484367617,0.711867235869568,0.4018949227079373,1.0
